id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language,Unnamed: 0,gender,age,hhi,ethnicity,race,f01_how_long_lived_here,f02_housing_status,f03_city_direction,f04_english,f04_spanish,f04_portuguese,f04_chinese,f04_other,f05_num_children,f06_plan_to_move,f07_is_student,f08_car,f08_walk,f08_bike,f08_public,f09_car,f09_walk,f09_bike,f09_public,f10_move_cat1,f10_move_subcat1,f10_move_cat2,f10_move_subcat2,weight
7412,2019,8.0,8.0,7.0,6.0,4.0,1.0,2.0,3.0,2.0,4.0,8.0,8.0,8.0,Male,34.0,Asian Indian,No,Rent,No,4 years,"$200,000 or more",No,5.0,Not sure,8.0,8.0,7.0,,Public transit,"Walk, Bike, Public transit, Car",English,21,Male,25 to 34 Years,8.0,non-hispanic,asian,4.0,Rent,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,75.06549615815865
7413,2019,7.0,6.0,9.0,9.0,5.0,1.0,3.0,5.0,4.0,5.0,10.0,10.0,10.0,Female,27.0,White,No,Rent,No,2 years,"$75,000 to $99,999",No,4.0,Right direction,10.0,7.0,7.0,,"Bike, Public transit","Walk, Bike, Public transit","English, Spanish",22,Female,25 to 34 Years,5.0,non-hispanic,white,2.0,Rent,right,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,56.26772696117672
7414,2019,7.0,8.0,8.0,8.0,5.0,3.0,4.0,3.0,3.0,5.0,8.0,8.0,10.0,Female,34.0,White,Yes,Own,No,2 years,"$150,000 to 200,000",No,1.0,Right direction,2.0,2.0,5.0,,"Walk, Bike, Public transit","Walk, Bike, Public transit",English,23,Female,25 to 34 Years,7.0,non-hispanic,white,2.0,Own,right,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,52.08693196400122
7415,2019,8.0,8.0,8.0,9.0,5.0,1.0,4.0,4.0,4.0,5.0,10.0,9.0,9.0,Male,55.0,White,Yes,Own,No,23 years,"$150,000 to 200,000",No,6.0,Not sure,8.0,10.0,8.0,,Bike,"Walk, Bike, Public transit, Car",English,24,Male,55 to 64 Years,7.0,non-hispanic,white,23.0,Own,unsure,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,52.20026433898506
7416,2019,10.0,10.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,1.0,10.0,10.0,9.0,,,,Yes,,Yes,38 years,"$100,000 to $149,999",No,6.0,Wrong track,2.0,1.0,1.0,Way too expensive,"Walk, Car","Walk, Car",,25,,75 Years & Over,6.0,,,38.0,Other,wrong,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Cost,General,,,1.3503347141573343
7417,2019,7.0,9.0,8.0,8.0,4.0,1.0,4.0,4.0,4.0,5.0,9.0,10.0,10.0,Female,67.0,White,No,Own,No,45 years,"$50,000 to 74,999",No,3.0,Right direction,7.0,9.0,9.0,,Walk,"Walk, Bike, Public transit, Car",English,26,Female,65 to 74 Years,4.0,non-hispanic,white,45.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0.0
7418,2019,10.0,8.0,9.0,8.0,5.0,3.0,4.0,4.0,3.0,4.0,8.0,7.0,9.0,Female,30.0,White,No,Rent,No,8 years,"$50,000 to 74,999",No,4.0,Right direction,8.0,7.0,8.0,,Bike,"Walk, Bike, Public transit, Car",English,27,Female,25 to 34 Years,4.0,non-hispanic,white,8.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,43.27225678688361
7419,2019,10.0,10.0,10.0,6.0,5.0,3.0,5.0,5.0,2.0,5.0,10.0,8.0,10.0,Male,67.0,White,No,Own,No,67 years,"$100,000 to $149,999",No,1.0,Right direction,7.0,10.0,10.0,,Car,"Walk, Car",English,28,Male,65 to 74 Years,6.0,non-hispanic,white,67.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,39.45329859830315
7420,2019,7.0,7.0,8.0,7.0,5.0,2.0,,4.0,3.0,4.0,10.0,7.0,8.0,Female,24.0,White,No,Rent,Yes,2 years,"$150,000 to 200,000",No,7.0,Right direction,7.0,8.0,5.0,Too expensive to live,Car,"Walk, Bike, Public transit, Car",English,29,Female,18 to 24 Years,7.0,non-hispanic,white,2.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Cost,Housing,,,210.39088776310672
7421,2019,8.0,7.0,8.0,8.0,4.0,1.0,4.0,2.0,4.0,5.0,9.0,8.0,9.0,Male,61.0,"White, Jewish",No,Own,No,,"$150,000 to 200,000",No,7.0,Right direction,9.0,9.0,8.0,,Car,"Walk, Public transit, Car",English,30,Male,55 to 64 Years,7.0,non-hispanic,two_or_more,,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,52.20026433898506
7422,2019,9.0,8.0,9.0,9.0,3.0,2.0,,4.0,3.0,3.0,8.0,8.0,8.0,Male,38.0,White,No,Rent,No,1 year,"$10,000 to $24,999",No,7.0,Right direction,8.0,8.0,9.0,,"Walk, Public transit","Walk, Public transit",,31,Male,35 to 44 Years,2.0,non-hispanic,white,1.0,Rent,right,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,99.6398267930093
7423,2019,6.0,7.0,7.0,6.0,3.0,2.0,3.0,4.0,4.0,3.0,7.0,6.0,8.0,Male,31.0,White,No,Rent,Yes,3 years,"$100,000 to $149,999",No,5.0,Right direction,5.0,5.0,5.0,Closer to nature/things to do,"Bike, Public transit","Walk, Bike, Public transit, Car",English,32,Male,25 to 34 Years,6.0,non-hispanic,white,3.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Atmosphere,Nature,,,84.10426191166913
7424,2019,9.0,9.0,9.0,9.0,5.0,2.0,4.0,4.0,3.0,5.0,8.0,6.0,6.0,Male,70.0,White,No,Own,Yes,33 years,,No,3.0,Right direction,6.0,4.0,9.0,,Car,"Walk, Public transit, Car",English,33,Male,65 to 74 Years,,non-hispanic,white,33.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,No Answer,,,,41.66029840766626
7425,2019,9.0,10.0,9.0,8.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,8.0,8.0,Female,50.0,White,No,Own,No,10 years,"$200,000 or more",No,2.0,Right direction,9.0,5.0,9.0,,Car,"Walk, Bike, Public transit, Car",English,34,Female,45 to 54 Years,8.0,non-hispanic,white,10.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,29.65720152635937
7426,2019,10.0,10.0,6.0,8.0,4.0,2.0,1.0,5.0,4.0,4.0,7.0,4.0,7.0,Male,24.0,White,No,Rent,No,2 years,"$75,000 to $99,999",Yes,2.0,Wrong track,7.0,7.0,7.0,,Car,"Walk, Public transit, Car",English,35,Male,18 to 24 Years,5.0,non-hispanic,white,2.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,244.6152175201376
7427,2019,8.0,8.0,9.0,9.0,5.0,3.0,4.0,3.0,3.0,4.0,8.0,8.0,7.0,Female,30.0,White,No,Rent,Yes,5 years,"$75,000 to $99,999",No,6.0,Right direction,6.0,9.0,9.0,"Will need to buy, can't afford","Walk, Public transit","Walk, Public transit, Car",English,36,Female,25 to 34 Years,5.0,non-hispanic,white,5.0,Rent,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Cost,Housing,,,56.26772696117672
7428,2019,10.0,,9.0,10.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,10.0,10.0,Female,85.0,Black/African American,No,Rent,No,46 years,"$10,000 to $24,999",No,5.0,Not sure,1.0,1.0,1.0,,Public transit,Public transit,English,37,Female,75 Years & Over,2.0,non-hispanic,aa,46.0,Rent,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,39.51449694970123
7429,2019,4.0,6.0,7.0,7.0,4.0,1.0,,,2.0,4.0,3.0,6.0,7.0,Female,68.0,White,No,Rent,No,,"$10,000 to $24,999",No,3.0,Not sure,1.0,1.0,4.0,,Public transit,"Walk, Public transit",English,38,Female,65 to 74 Years,2.0,non-hispanic,white,,Rent,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,47.57392607399151
7430,2019,7.0,8.0,10.0,9.0,4.0,4.0,,4.0,4.0,,8.0,8.0,9.0,Male,31.0,White,No,Own,No,3 years,"$200,000 or more",No,1.0,Right direction,10.0,8.0,10.0,,Public transit,"Walk, Public transit, Car",English,39,Male,25 to 34 Years,8.0,non-hispanic,white,3.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,75.06549615815865
7431,2019,9.0,9.0,9.0,10.0,5.0,2.0,,5.0,5.0,5.0,10.0,10.0,10.0,Female,62.0,White,No,Own,No,2 years,"$150,000 to 200,000",No,4.0,Right direction,9.0,9.0,8.0,,Car,"Walk, Public transit, Car",English,40,Female,55 to 64 Years,7.0,non-hispanic,white,2.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,22.156729579129568
7432,2019,7.0,8.0,7.0,6.0,3.0,1.0,,3.0,1.0,5.0,9.0,8.0,9.0,Female,31.0,White,No,Rent,Yes,10 years,"$100,000 to $149,999",No,6.0,Wrong track,1.0,7.0,5.0,Unaffordable Housing,Public transit,"Walk, Bike, Public transit, Car",English,41,Female,25 to 34 Years,6.0,non-hispanic,white,10.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,Cost,Housing,,,54.0607271518136
7433,2019,7.0,8.0,4.0,5.0,4.0,1.0,1.0,5.0,,5.0,9.0,7.0,9.0,Female,35.0,,Yes,Rent,Yes,5 years,"$75,000 to $99,999",No,5.0,Wrong track,6.0,8.0,6.0,Affordability & schools,Public transit,"Walk, Public transit, Car",English,42,Female,35 to 44 Years,5.0,,,5.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,Cost,Housing,School system,,33.63912960697295
7434,2019,5.0,6.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,Female,58.0,White,No,Own,,58 years,"$100,000 to $149,999",No,5.0,Wrong track,5.0,4.0,6.0,"Not sure, am looking",Car,"Walk, Car",English,43,Female,55 to 64 Years,6.0,non-hispanic,white,58.0,Own,wrong,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,24.130524766941942
7435,2019,10.0,10.0,5.0,8.0,4.0,1.0,3.0,5.0,1.0,3.0,4.0,7.0,9.0,Male,68.0,Hispanic/Latino,No,Rent,Yes,40 years,"$25,000 to $49,999",No,7.0,Wrong track,1.0,10.0,2.0,High rents,Public transit,Public transit,English,44,Male,65 to 74 Years,3.0,hispanic,,40.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Cost,Housing,,,46.73959511411833
7436,2019,7.0,4.0,7.0,8.0,3.0,1.0,3.0,5.0,4.0,4.0,9.0,6.0,4.0,Female,65.0,White,No,Rent,No,30 years,"$25,000 to $49,999",No,7.0,Wrong track,4.0,4.0,8.0,,Public transit,Public transit,,45,Female,65 to 74 Years,3.0,non-hispanic,white,30.0,Rent,wrong,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,16.696060354262762
7437,2019,7.0,4.0,7.0,8.0,3.0,1.0,3.0,5.0,4.0,4.0,9.0,6.0,4.0,Female,65.0,White,No,Rent,No,30 years,"$25,000 to $49,999",No,7.0,Wrong track,4.0,4.0,8.0,,Public transit,Public transit,English,46,Female,65 to 74 Years,3.0,non-hispanic,white,30.0,Rent,wrong,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,16.696060354262762
7438,2019,9.0,9.0,8.0,7.0,5.0,3.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,Female,65.0,White,No,Own,No,65 years,"$50,000 to 74,999",No,3.0,Not sure,9.0,10.0,9.0,,"Walk, Public transit","Walk, Public transit",English,47,Female,65 to 74 Years,4.0,non-hispanic,white,65.0,Own,unsure,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,0.0
7439,2019,10.0,10.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,Male,73.0,White,No,Own,Yes,40 years,"$75,000 to $99,999",No,4.0,Right direction,7.0,10.0,10.0,Airplane noise,Car,Car,English,48,Male,65 to 74 Years,5.0,non-hispanic,white,40.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Atmosphere,Noise,,,41.66029840766626
7440,2019,8.0,8.0,8.0,7.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,5.0,Female,62.0,White,No,Own,No,23 years,"$100,000 to $149,999",No,3.0,,4.0,4.0,8.0,"39994 years, I want mountains and a view","Walk, Bike, Car","Walk, Bike",English,49,Female,55 to 64 Years,6.0,non-hispanic,white,23.0,Own,no_answer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,24.130524766941942
7441,2019,8.0,9.0,9.0,9.0,4.0,2.0,3.0,4.0,3.0,5.0,8.0,7.0,7.0,Female,58.0,White,No,Own,No,9 years,"$100,000 to $149,999",No,2.0,Right direction,7.0,7.0,10.0,,Public transit,"Walk, Public transit, Car",English,50,Female,55 to 64 Years,6.0,non-hispanic,white,9.0,Own,right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,24.130524766941942
7442,2019,1.0,6.0,2.0,6.0,3.0,1.0,3.0,5.0,1.0,3.0,8.0,5.0,8.0,Male,66.0,White,No,Own,Yes,66 years,"$50,000 to 74,999",No,6.0,Wrong track,7.0,3.0,7.0,"Too liberal, too expensive",Car,"Walk, Car",English,51,Male,65 to 74 Years,4.0,non-hispanic,white,66.0,Own,wrong,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Political,,Cost,General,28.66482823337321
